work_year;Experience_level_coded;employment_type_code;job_title_code;employee_residence;remote_ratio;company_location;company_size_numeric;salary_in_usd
2023;3;3;34;228;0;228;25;176000
2023;3;3;34;228;100;228;25;237000
2023;3;3;34;228;100;228;25;201450
2023;3;3;9;228;0;228;100;309400
2023;3;3;9;228;0;228;100;159100
2023;3;3;34;228;0;228;25;115000
2023;3;3;34;228;0;228;25;81500
2023;3;3;48;228;100;228;25;237000
2023;3;3;48;228;100;228;25;201450
2023;3;3;24;228;0;228;25;280000
2023;3;3;24;228;0;228;25;210000
2023;3;3;32;228;100;228;25;280100
2023;3;3;32;228;100;228;25;168100
2023;3;3;34;228;100;228;25;193500
2023;3;3;34;228;100;228;25;139000
2023;2;3;48;93;0;93;100;65062
2023;3;3;68;181;100;228;25;150000
2023;2;3;7;103;100;54;5;69751
2022;1;3;2;103;50;103;100;300000
2023;2;3;68;163;100;163;100;96578
2023;3;3;19;228;0;228;25;185900
2023;3;3;19;228;0;228;25;129300
2023;3;3;34;228;100;228;25;225000
2023;3;3;34;228;100;228;25;175000
2023;3;3;34;228;0;228;25;185000
2023;3;3;34;228;0;228;25;140000
2023;3;3;48;65;0;65;25;48289
2023;3;3;48;65;0;65;25;38631
2023;3;3;48;228;0;228;25;105000
2023;3;3;48;228;0;228;25;70000
2023;1;3;68;228;0;228;25;163196
2023;1;3;68;228;0;228;25;145885
2023;3;3;34;228;100;228;25;217000
2023;3;3;34;228;100;228;25;185000
2023;3;3;26;228;0;228;100;202800
2023;3;3;26;228;0;228;100;104300
2023;3;3;26;228;0;228;25;145000
2023;3;3;26;228;0;228;25;65000
2023;3;3;34;228;0;228;25;165000
2023;3;3;34;228;0;228;25;132300
2023;3;3;34;228;0;228;25;179170
2023;3;3;34;228;0;228;25;94300
2023;3;3;5;228;0;228;25;152500
2023;3;3;5;228;0;228;25;116450
2023;3;3;34;228;0;228;25;247300
2023;3;3;34;228;0;228;25;133800
2023;3;3;90;228;0;228;25;203000
2023;3;3;90;228;0;228;25;133000
2023;1;3;91;228;50;228;100;220000
2022;1;3;68;41;100;41;5;56536
2023;3;3;48;228;0;228;25;150000
2023;3;3;48;228;0;228;25;120000
2023;3;3;5;228;0;228;25;289800
2023;3;3;5;228;0;228;25;214000
2023;3;3;5;228;0;228;25;179820
2023;3;3;5;228;0;228;25;143860
2023;3;3;68;228;100;228;25;283200
2023;3;3;68;228;100;228;25;188800
2023;3;3;5;228;0;228;25;289800
2023;3;3;5;228;0;228;25;214200
2023;3;3;34;228;0;228;25;185900
2023;3;3;34;228;0;228;25;129300
2023;3;3;34;228;0;228;25;252000
2023;3;3;34;228;0;228;25;129000
2023;2;3;30;228;0;228;25;155000
2023;2;3;30;228;0;228;25;140000
2023;3;3;34;228;100;228;25;161800
2023;3;3;34;228;100;228;25;141600
2023;3;3;68;228;0;228;100;342300
2023;3;3;68;228;0;228;100;176100
2023;2;3;34;228;100;228;25;100000
2023;2;3;34;228;100;228;25;70000
2023;1;3;34;228;0;228;25;85000
2023;1;3;34;228;0;228;25;65000
2023;3;3;48;228;100;228;25;138784
2023;3;3;48;228;100;228;25;83270
2023;1;3;26;228;0;228;25;75000
2023;1;3;26;228;0;228;25;70000
2023;3;3;26;228;0;228;25;204500
2023;3;3;26;228;0;228;25;138900
2023;3;3;68;228;100;228;25;318300
2023;3;3;68;228;100;228;25;212200
2023;3;3;34;228;100;228;25;95000
2023;3;3;34;228;100;228;25;75000
2023;3;3;48;228;0;228;25;195000
2023;3;3;48;228;0;228;25;160000
2023;3;3;5;228;0;228;25;230000
2023;3;3;5;228;0;228;25;143200
2023;2;3;34;228;100;228;25;100000
2023;2;3;34;228;100;228;25;70000
2023;2;3;18;228;50;228;100;105000
2023;2;3;6;103;100;103;100;20670
2023;2;3;26;74;0;74;25;46178
2023;2;3;26;74;0;74;25;42533
2023;3;3;34;228;0;228;25;145000
2023;3;3;34;228;0;228;25;115000
2023;3;3;26;228;0;228;25;168400
2023;3;3;26;228;0;228;25;105200
2023;3;3;9;228;0;228;100;309400
2023;3;3;9;228;0;228;100;159100
2023;3;3;68;228;0;228;25;190000
2023;3;3;68;228;0;228;25;150000
2023;2;3;34;228;0;228;25;162500
2023;2;3;34;228;0;228;25;130000
2023;3;3;5;228;100;228;25;150000
2023;3;3;5;228;100;228;25;120000
2023;3;3;34;228;0;228;25;145000
2023;3;3;34;228;0;228;25;120000
2023;3;3;9;228;0;228;100;222200
2023;3;3;9;228;0;228;100;136000
2023;3;3;26;39;100;39;25;54685
2023;3;3;26;39;100;39;25;42533
2023;3;3;34;228;0;228;25;241000
2023;3;3;34;228;0;228;25;155000
2023;3;3;34;228;100;228;25;220000
2023;3;3;34;228;100;228;25;190000
2023;2;3;48;74;0;74;25;66837
2023;2;3;48;74;0;74;25;54685
2020;1;3;93;161;0;36;25;15000
2023;2;3;56;74;100;74;25;85066
2023;2;3;56;74;100;74;25;57723
2023;1;3;26;228;100;228;25;85000
2023;1;3;26;228;100;228;25;75000
2023;3;3;34;228;0;228;25;160000
2023;3;3;34;228;0;228;25;140000
2023;2;3;68;228;0;228;25;300000
2023;2;3;68;228;0;228;25;250000
2023;3;3;48;228;0;228;25;228000
2023;3;3;48;228;0;228;25;186000
2023;3;3;48;228;0;228;25;190000
2023;3;3;48;228;0;228;25;170000
2023;2;3;90;228;0;228;25;230000
2023;2;3;90;228;0;228;25;200000
2023;3;3;32;228;100;228;25;180000
2023;3;3;32;228;100;228;25;115000
2023;3;3;32;228;100;228;25;200000
2023;3;3;32;228;100;228;25;115000
2023;3;3;33;72;50;72;5;53654
2023;1;3;34;228;0;228;25;220000
2023;1;3;34;228;0;228;25;205000
2023;2;3;34;228;0;228;25;180000
2023;2;3;34;228;0;228;25;130000
2023;3;3;34;228;100;228;25;200000
2023;3;3;34;228;100;228;25;150000
2023;3;3;24;228;0;228;25;215000
2023;3;3;24;228;0;228;25;170000
2023;3;3;68;228;0;228;25;247500
2023;3;3;68;228;0;228;25;172200
2023;3;3;48;36;0;36;25;224000
2023;3;3;48;36;0;36;25;176000
2023;3;3;26;228;100;228;25;120000
2023;3;3;26;228;100;228;25;75000
2023;1;3;34;103;100;103;100;17022
2023;3;3;6;14;100;67;25;68318
2023;2;3;2;67;0;67;25;75020
2023;3;3;26;228;0;228;25;140000
2023;3;3;26;228;0;228;25;120000
2023;3;3;34;228;0;228;25;128000
2023;3;3;34;228;0;228;25;81500
2023;3;3;34;228;0;228;25;145000
2023;3;3;34;228;0;228;25;115000
2023;3;3;34;228;0;228;25;185000
2023;3;3;34;228;0;228;25;140000
2023;1;3;59;228;0;228;25;329500
2023;1;3;59;228;0;228;25;269600
2023;3;3;42;228;0;228;25;100000
2023;3;3;42;228;0;228;25;80000
2023;3;3;48;228;0;228;25;250000
2023;3;3;48;228;0;228;25;162500
2023;2;3;2;228;100;228;25;200000
2023;3;3;34;228;0;228;25;145000
2023;3;3;34;228;0;228;25;100000
2023;1;3;34;228;0;228;25;145000
2023;1;3;34;228;0;228;25;115000
2023;3;3;48;228;0;228;25;203500
2023;3;3;48;228;0;228;25;152000
2023;3;3;48;228;0;228;100;239000
2023;3;3;48;228;0;228;100;122900
2023;3;3;48;228;0;228;25;237000
2023;3;3;48;228;0;228;25;145000
2023;3;3;46;228;0;228;25;191765
2023;3;3;46;228;0;228;25;134236
2023;3;3;5;228;100;228;25;190000
2023;3;3;5;228;100;228;25;112000
2022;3;3;48;65;100;74;100;88256
2023;1;3;34;228;0;228;25;85000
2023;1;3;34;228;0;228;25;65000
2023;3;3;26;228;0;228;25;135000
2023;3;3;26;228;0;228;25;105500
2023;3;3;90;228;0;228;25;293000
2023;3;3;90;228;0;228;25;185000
2023;3;3;26;228;0;228;25;80000
2023;3;3;26;228;0;228;25;70000
2023;3;3;34;228;100;228;25;220000
2023;3;3;34;228;100;228;25;160000
2023;3;3;48;228;100;228;25;175000
2023;3;3;48;228;100;228;25;145000
2023;3;3;26;228;0;228;25;200000
2023;3;3;26;228;0;228;25;148500
2023;3;3;48;65;0;65;25;48289
2023;3;3;48;65;0;65;25;38631
2023;3;3;34;228;0;228;100;240500
2023;3;3;34;228;0;228;100;123700
2023;3;3;5;228;100;228;25;152900
2023;3;3;5;228;100;228;25;117100
2023;3;3;5;228;100;228;25;173000
2023;3;3;5;228;100;228;25;113000
2023;3;3;9;228;0;228;100;260000
2023;3;3;9;228;0;228;100;136000
2023;1;3;34;228;0;228;25;175000
2023;1;3;34;228;0;228;25;110000
2023;3;3;9;228;0;228;100;260000
2023;3;3;9;228;0;228;100;136000
2023;3;3;91;228;100;228;25;130000
2023;3;3;91;228;100;228;25;110000
2023;3;3;9;228;100;228;25;205000
2023;3;3;9;228;100;228;25;184000
2023;3;3;26;228;100;228;25;149500
2023;3;3;26;228;100;228;25;127075
2023;3;3;48;228;0;228;25;195000
2023;3;3;48;228;0;228;25;160000
2023;3;3;34;228;100;228;25;219535
2023;3;3;34;228;100;228;25;146115
2023;3;3;48;228;0;228;25;170000
2023;3;3;48;228;0;228;25;135000
2023;3;3;48;228;100;228;25;175000
2023;3;3;48;228;100;228;25;145000
2023;3;3;48;228;0;228;25;199000
2023;3;3;48;228;0;228;25;162000
2023;3;3;9;228;0;228;100;222200
2023;3;3;9;228;0;228;100;136000
2023;1;3;5;228;100;228;25;221000
2023;1;3;5;228;100;228;25;153000
2023;3;3;26;228;0;228;25;187000
2023;3;3;26;228;0;228;25;128000
2023;3;3;91;228;0;228;25;210000
2023;3;3;91;228;0;228;25;136000
2023;3;3;48;228;100;228;25;175000
2023;3;3;48;228;100;228;25;100000
2023;3;3;34;228;0;228;25;179000
2023;3;3;34;228;0;228;25;109000
2023;3;3;48;228;0;228;25;245000
2023;3;3;48;228;0;228;25;180000
2023;3;3;26;228;100;228;25;142000
2023;3;3;26;228;100;228;25;75000
2023;3;3;38;228;0;228;25;198800
2023;3;3;38;228;0;228;25;105200
2023;3;3;26;228;100;228;25;125000
2023;3;3;26;228;100;228;25;112000
2023;3;3;48;228;0;228;25;210000
2023;3;3;48;228;0;228;25;155000
2023;3;3;38;228;100;228;25;115000
2023;3;3;38;228;100;228;25;86000
2023;3;3;48;228;0;228;25;165000
2023;3;3;48;228;0;228;25;140000
2023;3;3;26;228;0;228;25;139000
2023;3;3;26;228;0;228;25;106000
2023;1;3;26;36;0;36;100;40663
2022;3;3;2;36;0;36;5;275000
2023;3;2;72;225;50;225;5;50000
2023;2;3;68;228;100;228;25;280700
2023;2;3;68;228;100;228;25;150450
2023;1;3;48;36;100;36;100;51753
2023;3;3;32;228;0;228;25;250500
2023;3;3;32;228;0;228;25;159500
2023;3;3;34;228;0;228;25;145000
2023;3;3;34;228;0;228;25;115000
2023;3;3;26;228;0;228;25;140000
2023;3;3;26;228;0;228;25;120000
2023;1;3;48;228;100;228;25;130001
2023;1;3;48;228;100;228;25;71907
2023;2;3;48;228;100;228;25;93918
2023;2;3;48;228;100;228;25;51962
2023;3;3;26;36;100;36;25;175000
2023;3;3;26;36;100;36;25;135000
2023;1;3;34;228;0;228;25;85000
2023;1;3;34;228;0;228;25;65000
2023;3;3;68;228;0;228;25;257000
2023;3;3;68;228;0;228;25;147000
2023;3;3;34;228;100;228;25;222000
2023;3;3;34;228;100;228;25;175000
2023;3;3;48;228;100;228;25;203000
2023;3;3;48;228;100;228;25;133200
2023;1;3;9;228;0;228;100;213660
2023;1;3;9;228;0;228;100;130760
2023;3;3;34;228;0;228;25;221000
2023;3;3;34;228;0;228;25;147000
2023;3;3;42;228;0;228;25;100000
2023;3;3;42;228;0;228;25;80000
2023;3;3;48;228;0;228;25;185900
2023;3;3;48;228;0;228;25;129300
2023;3;3;48;228;100;228;25;238000
2023;3;3;48;228;100;228;25;156000
2023;3;3;68;228;100;228;25;304000
2023;3;3;68;228;100;228;25;199000
2023;2;3;17;65;100;65;25;48289
2023;3;3;34;228;0;228;25;150000
2023;3;3;34;228;0;228;25;130000
2023;3;3;48;228;100;228;25;140000
2023;3;3;48;228;100;228;25;110000
2023;2;3;26;228;0;228;25;90000
2023;2;3;26;228;0;228;25;75000
2023;2;3;91;74;0;74;25;195895
2023;2;3;91;74;0;74;25;102772
2023;3;3;34;228;0;228;25;240000
2023;3;3;34;228;0;228;25;183600
2023;2;3;50;228;0;228;25;130000
2023;2;3;50;228;0;228;25;80000
2023;3;3;34;228;0;228;25;250000
2023;3;3;34;228;0;228;25;150000
2023;3;3;30;228;100;228;25;160000
2023;3;3;30;228;100;228;25;120000
2023;3;3;68;228;0;228;25;289076
2023;3;3;68;228;0;228;25;202353
2023;3;3;34;228;0;228;25;145000
2023;3;3;34;228;0;228;25;120000
2023;3;3;26;228;0;228;25;155000
2023;3;3;26;228;0;228;25;106000
2023;3;3;34;228;0;228;25;200000
2023;3;3;34;228;0;228;25;160000
2023;3;3;48;228;100;228;25;157750
2023;3;3;48;228;100;228;25;104650
2023;2;3;48;228;100;228;25;180000
2023;2;3;48;228;100;228;25;140000
2023;1;3;48;228;0;228;25;200000
2023;1;3;48;228;0;228;25;145000
2023;2;3;63;228;0;228;100;68000
2023;1;3;14;228;100;228;25;60000
2023;3;3;48;65;0;65;25;48289
2023;3;3;48;65;0;65;25;38631
2023;1;3;34;228;0;228;25;85000
2023;1;3;34;228;0;228;25;65000
2023;2;3;34;228;0;228;25;125000
2023;2;3;34;228;0;228;25;90000
2023;3;3;26;228;100;228;25;105000
2023;3;3;26;228;100;228;25;90000
2023;3;3;5;228;0;228;25;179820
2023;3;3;5;228;0;228;25;143860
2023;3;3;26;228;0;228;25;135000
2023;3;3;26;228;0;228;25;105500
2023;1;3;90;228;0;228;25;155000
2023;1;3;90;228;0;228;25;125000
2023;3;3;68;228;0;228;25;241000
2023;3;3;68;228;0;228;25;181000
2023;3;3;48;228;0;228;25;252000
2023;3;3;48;228;0;228;25;154000
2023;1;3;32;228;0;228;25;180000
2023;1;3;32;228;0;228;25;155000
2023;3;3;48;228;0;228;25;191765
2023;3;3;48;228;0;228;25;134236
2023;3;3;48;228;100;228;25;175000
2023;3;3;48;228;100;228;25;145000
2023;3;3;48;228;100;228;25;237000
2023;3;3;48;228;100;228;25;145000
2023;1;3;90;228;0;228;25;155000
2023;1;3;90;228;0;228;25;125000
2023;3;3;26;228;0;228;25;80000
2023;3;3;26;228;0;228;25;70000
2023;3;3;34;228;0;228;25;146000
2023;3;3;34;228;0;228;25;75000
2023;1;3;26;228;100;228;25;64200
2023;1;3;26;228;100;228;25;56100
2023;3;3;68;228;0;228;25;170000
2023;3;3;68;228;0;228;25;130000
2023;3;3;26;228;100;228;25;208450
2023;3;3;26;228;100;228;25;170550
2023;3;3;68;228;0;228;25;125000
2023;3;3;68;228;0;228;25;100000
2023;2;3;38;228;0;228;25;135000
2023;2;3;38;228;0;228;25;120000
2023;3;3;48;228;100;228;25;200000
2023;3;3;48;228;100;228;25;170000
2023;3;3;48;100;0;100;25;171250
2023;3;3;48;100;0;100;25;113750
2023;3;3;9;228;0;228;100;222200
2023;3;3;9;228;0;228;100;136000
2023;3;3;9;228;0;228;100;260000
2023;3;3;9;228;0;228;100;136000
2023;3;3;26;228;0;228;25;153600
2023;3;3;26;228;0;228;25;100500
2023;3;3;9;228;100;228;25;205000
2023;3;3;9;228;100;228;25;184000
2023;3;3;68;36;100;36;25;115000
2023;3;3;68;36;100;36;25;95000
2023;2;3;26;228;0;228;25;182500
2023;2;3;26;228;0;228;25;121500
2023;3;3;34;228;0;228;25;203100
2023;3;3;34;228;0;228;25;114500
2023;2;3;26;74;0;74;25;72914
2023;2;3;26;74;0;74;25;54685
2023;3;3;34;228;0;228;25;252000
2023;3;3;34;228;0;228;25;129000
2023;1;3;34;228;100;228;25;92700
2023;1;3;34;228;100;228;25;61800
2023;3;3;34;228;100;228;25;160000
2023;3;3;34;228;100;228;25;130000
2023;3;3;48;36;0;36;25;258000
2023;3;3;48;36;0;36;25;190000
2023;3;3;48;228;0;228;25;170000
2023;3;3;48;228;0;228;25;135000
2023;2;3;32;228;0;228;25;167500
2023;2;3;32;228;0;228;25;106500
2023;3;3;48;228;0;228;25;195000
2023;3;3;48;228;0;228;25;160000
2023;2;3;34;228;0;228;25;146000
2023;2;3;34;228;0;228;25;75000
2022;1;3;34;163;100;163;100;59888
2023;1;3;34;228;100;228;25;286000
2023;1;3;34;228;100;228;25;207000
2023;3;3;26;228;100;228;25;100000
2023;3;3;26;228;100;228;25;80000
2023;3;3;34;228;0;228;25;223250
2023;3;3;34;228;0;228;25;178600
2023;1;3;54;228;0;228;25;353200
2023;1;3;54;228;0;228;25;249300
2023;2;3;73;228;0;228;25;230000
2023;2;3;73;228;0;228;25;220000
2023;3;3;48;228;100;228;25;297300
2023;3;3;48;228;100;228;25;198200
2023;2;3;91;228;100;228;25;210000
2023;2;3;91;228;100;228;25;151800
2023;3;3;48;228;100;228;25;200000
2023;3;3;48;228;100;228;25;170000
2023;3;3;48;228;0;228;25;317070
2023;3;3;48;228;0;228;25;170730
2023;3;3;34;228;0;228;25;128000
2023;3;3;34;228;0;228;25;81500
2023;1;3;18;65;0;65;25;21461
2023;3;3;2;225;0;225;25;108000
2023;3;3;2;225;0;225;25;60000
2023;2;3;79;228;100;228;25;134000
2023;2;3;79;228;100;228;25;124000
2023;3;3;34;228;0;228;25;171250
2023;3;3;34;228;0;228;25;113750
2023;3;3;34;228;0;228;25;165000
2023;3;3;34;228;0;228;25;132300
2023;3;3;48;228;0;228;25;225000
2023;3;3;48;228;0;228;25;175000
2023;3;3;34;228;0;228;25;230000
2023;3;3;34;228;0;228;25;124500
2023;3;3;68;228;0;228;25;247500
2023;3;3;68;228;0;228;25;172200
2023;3;3;26;228;0;228;25;175000
2023;3;3;26;228;0;228;25;145000
2023;3;3;26;228;0;228;25;148700
2023;3;3;26;228;0;228;25;125600
2023;3;3;34;228;0;228;25;145000
2023;3;3;34;228;0;228;25;115000
2023;3;3;91;228;0;228;25;200000
2023;3;3;91;228;0;228;25;150000
2023;1;3;90;228;0;228;25;160000
2023;1;3;90;228;0;228;25;120000
2023;3;3;26;228;100;228;25;185000
2023;3;3;26;228;100;228;25;120250
2023;3;3;48;228;100;228;25;275300
2023;3;3;48;228;100;228;25;183000
2023;3;3;32;228;100;228;25;170000
2023;3;3;32;228;100;228;25;125000
2023;2;3;32;228;0;228;25;167500
2023;2;3;32;228;0;228;25;106500
2023;3;3;91;228;0;228;25;250000
2023;3;3;91;228;0;228;25;200000
2023;2;3;68;228;50;228;100;135000
2023;3;3;4;101;0;101;100;423834
2023;3;3;68;228;100;228;25;216000
2023;3;3;68;228;100;228;25;184000
2023;3;3;34;228;100;228;25;180000
2023;3;3;34;228;100;228;25;165000
2023;3;3;48;228;0;228;25;185900
2023;3;3;48;228;0;228;25;129300
2023;3;3;34;228;0;228;25;145000
2023;3;3;34;228;0;228;25;120000
2023;2;3;34;228;0;228;25;143865
2023;2;3;34;228;0;228;25;115092
2023;2;3;68;228;0;228;25;130000
2023;2;3;68;228;0;228;25;90000
2023;3;3;48;228;100;228;25;173000
2023;3;3;48;228;100;228;25;132000
2023;3;3;26;228;0;228;25;208049
2023;3;3;26;228;0;228;25;128500
2023;3;3;5;228;0;228;25;179820
2023;3;3;5;228;0;228;25;143860
2023;3;3;34;228;0;228;25;167500
2023;3;3;34;228;0;228;25;106500
2023;3;3;48;228;100;228;25;275300
2023;3;3;48;228;100;228;25;183500
2023;2;3;34;228;0;228;25;149600
2023;2;3;34;228;0;228;25;102000
2023;1;3;48;228;0;228;25;145000
2023;1;3;48;228;0;228;25;100000
2023;3;3;26;228;100;228;25;190000
2023;3;3;26;228;100;228;25;95000
2023;3;3;26;228;0;228;25;153600
2023;3;3;26;228;0;228;25;106800
2023;2;3;48;100;0;100;25;96578
2023;2;3;48;100;0;100;25;80481
2023;2;3;26;228;0;228;25;128000
2023;2;3;26;228;0;228;25;85000
2023;2;3;34;228;0;228;25;151000
2023;2;3;34;228;0;228;25;140000
2023;3;3;48;228;100;228;25;275300
2023;3;3;48;228;100;228;25;183500
2023;3;3;73;228;0;228;25;220000
2023;3;3;73;228;0;228;25;170000
2023;3;3;26;228;0;228;25;135000
2023;3;3;26;228;0;228;25;105500
2023;3;3;26;228;100;228;25;100000
2023;3;3;26;228;100;228;25;80000
2023;1;3;10;79;0;79;5;7000
2023;1;3;8;54;50;54;25;42923
2023;3;3;34;36;100;36;25;160000
2023;3;3;34;36;100;36;25;145000
2023;2;3;26;228;0;228;25;154000
2023;2;3;26;228;0;228;25;143000
2023;2;3;48;74;0;74;25;78990
2023;2;3;48;74;0;74;25;51039
2023;1;3;48;228;0;228;25;190000
2023;1;3;48;228;0;228;25;120000
2023;2;3;48;74;0;74;25;85066
2023;2;3;48;74;0;74;25;51039
2023;2;3;48;74;0;74;25;109371
2023;2;3;48;74;0;74;25;72914
2023;3;3;34;228;0;228;25;150000
2023;3;3;34;228;0;228;25;111000
2023;1;3;34;228;0;228;25;265000
2023;1;3;34;228;0;228;25;235000
2023;1;3;48;41;50;41;100;121093
2022;2;3;48;54;100;54;25;73546
2023;3;3;34;228;100;228;25;160000
2023;3;3;34;228;100;228;25;130000
2023;2;3;34;228;100;228;25;75000
2023;2;3;34;228;100;228;25;60400
2023;1;3;26;228;100;228;25;85000
2023;1;3;26;228;100;228;25;75000
2023;3;3;34;228;0;228;25;252000
2023;3;3;34;228;0;228;25;129000
2023;1;3;34;228;100;228;25;92700
2023;1;3;34;228;100;228;25;61800
2022;3;3;65;100;100;100;100;172309
2023;2;3;48;13;100;54;25;60093
2023;2;3;26;228;100;228;25;83500
2023;2;3;26;228;100;228;25;52500
2023;3;3;48;228;0;228;25;201036
2023;3;3;48;228;0;228;25;134024
2023;3;3;26;228;100;228;25;165000
2023;3;3;26;228;100;228;25;140000
2023;1;3;34;228;100;228;25;62000
2023;1;3;34;228;100;228;25;58000
2023;3;3;48;228;0;228;25;172000
2023;3;3;48;228;0;228;25;115000
2023;1;3;34;228;0;228;25;125000
2023;1;3;34;228;0;228;25;90000
2023;3;3;34;228;0;228;25;163800
2023;3;3;34;228;0;228;25;126000
2023;3;3;48;228;100;228;25;237000
2023;3;3;48;228;100;228;25;145000
2023;2;3;34;228;100;228;25;90000
2023;2;3;34;228;100;228;25;90000
2023;3;3;34;228;0;228;25;139500
2023;3;3;34;228;0;228;25;109400
2023;3;3;48;36;0;36;25;258000
2023;3;3;48;36;0;36;25;190000
2023;2;3;34;228;0;228;25;145000
2023;2;3;34;228;0;228;25;120000
2023;3;3;34;228;0;228;100;205600
2023;3;3;34;228;0;228;100;105700
2023;3;3;34;228;0;228;25;252000
2023;3;3;34;228;0;228;25;129000
2023;3;3;48;228;0;228;25;239748
2023;3;3;48;228;0;228;25;159832
2023;3;3;48;228;100;228;25;186300
2023;3;3;48;228;100;228;25;102500
2023;3;3;34;228;0;228;25;165000
2023;3;3;34;228;0;228;25;132300
2023;3;3;48;228;0;228;25;190000
2023;3;3;48;228;0;228;25;126000
2023;3;3;32;228;100;228;25;149040
2023;3;3;32;228;100;228;25;113900
2023;3;3;34;228;100;228;25;153600
2023;3;3;34;228;100;228;25;106800
2023;3;3;34;228;100;228;25;172600
2023;3;3;34;228;100;228;25;107900
2023;3;3;26;228;0;228;25;180180
2023;3;3;26;228;0;228;25;106020
2023;3;3;32;228;100;228;25;376080
2023;3;3;32;228;100;228;25;213120
2023;3;3;26;228;0;228;25;153600
2023;3;3;26;228;0;228;25;100500
2023;3;3;26;228;100;228;25;206500
2023;3;3;26;228;100;228;25;121600
2023;3;3;34;228;0;228;25;260000
2023;3;3;34;228;0;228;25;225000
2023;1;3;34;228;0;228;25;194500
2023;1;3;34;228;0;228;25;115500
2023;3;3;22;228;100;228;100;170000
2023;3;3;8;228;100;228;100;90000
2023;1;3;26;228;100;228;25;95000
2023;1;3;26;228;100;228;25;70000
2023;3;3;34;228;0;228;25;275000
2023;3;3;34;228;0;228;25;160000
2023;3;3;26;228;100;228;25;115934
2023;3;3;26;228;100;228;25;81666
2023;3;3;48;228;0;228;25;175000
2023;3;3;48;228;0;228;25;120000
2023;3;3;68;228;100;228;25;150000
2023;3;3;68;228;100;228;25;120000
2023;3;3;90;228;0;228;25;200000
2023;3;3;90;228;0;228;25;175000
2023;2;3;26;228;0;228;25;206000
2023;2;3;26;228;0;228;25;130000
2023;3;3;32;74;100;74;25;138000
2023;3;3;32;74;100;74;25;92000
2023;3;3;38;47;0;47;25;65000
2023;3;3;38;47;0;47;25;48000
2023;3;3;26;228;100;228;25;110000
2023;3;3;26;228;100;228;25;75000
2023;3;3;5;228;0;228;25;130000
2023;3;3;5;228;0;228;25;87000
2023;2;3;26;228;0;228;25;160000
2023;2;3;26;228;0;228;25;112000
2023;2;3;34;228;0;228;25;162500
2023;2;3;34;228;0;228;25;130000
2023;3;3;46;228;0;228;25;299500
2023;3;3;46;228;0;228;25;245100
2023;2;3;48;228;0;228;25;145000
2023;2;3;48;228;0;228;25;100000
2023;3;3;34;228;0;228;25;147100
2023;3;3;34;228;0;228;25;90700
2023;1;3;34;228;0;228;25;115100
