work_year;experience_level;employment_type;job_title;salary_currency;employee_residence;remote_ratio;company_location;company_size;salary;salary_in_usd
2023;SE;FT;Research Engineer;USD;US;0;US;M;189110;189110
2023;SE;FT;Research Engineer;USD;US;0;US;M;139000;139000
2023;EX;FT;Data Scientist;USD;US;0;US;M;258750;258750
2023;EX;FT;Data Scientist;USD;US;0;US;M;185000;185000
2023;SE;FT;Data Engineer;USD;US;100;US;M;231500;231500
2023;SE;FT;Data Engineer;USD;US;100;US;M;166000;166000
2023;SE;FT;Data Scientist;USD;US;100;US;M;172500;172500
2023;SE;FT;Data Scientist;USD;US;100;US;M;110500;110500
2023;SE;FT;Data Engineer;USD;US;0;US;M;238000;238000
2023;SE;FT;Data Engineer;USD;US;0;US;M;176000;176000
2023;SE;FT;Data Engineer;USD;US;100;US;M;237000;237000
2023;SE;FT;Data Engineer;USD;US;100;US;M;201450;201450
2023;SE;FT;Applied Scientist;USD;US;0;US;L;309400;309400
2023;SE;FT;Applied Scientist;USD;US;0;US;L;159100;159100
2023;SE;FT;Data Engineer;USD;US;0;US;M;115000;115000
2023;SE;FT;Data Engineer;USD;US;0;US;M;81500;81500
2023;SE;FT;Data Scientist;USD;US;100;US;M;237000;237000
2023;SE;FT;Data Scientist;USD;US;100;US;M;201450;201450
2023;SE;FT;Computer Vision Engineer;USD;US;0;US;M;280000;280000
2023;SE;FT;Computer Vision Engineer;USD;US;0;US;M;210000;210000
2023;SE;FT;Data Architect;USD;US;100;US;M;280100;280100
2023;SE;FT;Data Architect;USD;US;100;US;M;168100;168100
2023;SE;FT;Data Engineer;USD;US;100;US;M;193500;193500
2023;SE;FT;Data Engineer;USD;US;100;US;M;139000;139000
2023;MI;FT;Data Scientist;HKD;HK;0;HK;L;510000;65062
2023;SE;FT;Machine Learning Engineer;USD;PT;100;US;M;150000;150000
2023;MI;FT;Applied Machine Learning Engineer;EUR;IN;100;DE;S;65000;69751
2022;EN;FT;AI Developer;USD;IN;50;IN;L;300000;300000
2023;MI;FT;Machine Learning Engineer;EUR;NL;100;NL;L;90000;96578
2023;SE;FT;Business Intelligence Engineer;USD;US;0;US;M;185900;185900
2023;SE;FT;Business Intelligence Engineer;USD;US;0;US;M;129300;129300
2023;SE;FT;Data Engineer;USD;US;100;US;M;225000;225000
2023;SE;FT;Data Engineer;USD;US;100;US;M;175000;175000
2023;SE;FT;Data Engineer;USD;US;0;US;M;185000;185000
2023;SE;FT;Data Engineer;USD;US;0;US;M;140000;140000
2023;SE;FT;Data Scientist;EUR;ES;0;ES;M;45000;48289
2023;SE;FT;Data Scientist;EUR;ES;0;ES;M;36000;38631
2023;SE;FT;Data Scientist;USD;US;0;US;M;105000;105000
2023;SE;FT;Data Scientist;USD;US;0;US;M;70000;70000
2023;EN;FT;Machine Learning Engineer;USD;US;0;US;M;163196;163196
2023;EN;FT;Machine Learning Engineer;USD;US;0;US;M;145885;145885
2023;SE;FT;Data Engineer;USD;US;100;US;M;217000;217000
2023;SE;FT;Data Engineer;USD;US;100;US;M;185000;185000
2023;SE;FT;Data Analyst;USD;US;0;US;L;202800;202800
2023;SE;FT;Data Analyst;USD;US;0;US;L;104300;104300
2023;SE;FT;Data Analyst;USD;US;0;US;M;145000;145000
2023;SE;FT;Data Analyst;USD;US;0;US;M;65000;65000
2023;SE;FT;Data Engineer;USD;US;0;US;M;165000;165000
2023;SE;FT;Data Engineer;USD;US;0;US;M;132300;132300
2023;SE;FT;Data Engineer;USD;US;0;US;M;179170;179170
2023;SE;FT;Data Engineer;USD;US;0;US;M;94300;94300
2023;SE;FT;Analytics Engineer;USD;US;0;US;M;152500;152500
2023;SE;FT;Analytics Engineer;USD;US;0;US;M;116450;116450
2023;SE;FT;Data Engineer;USD;US;0;US;M;247300;247300
2023;SE;FT;Data Engineer;USD;US;0;US;M;133800;133800
2023;SE;FT;Research Engineer;USD;US;0;US;M;203000;203000
2023;SE;FT;Research Engineer;USD;US;0;US;M;133000;133000
2023;EN;FT;Research Scientist;USD;US;50;US;L;220000;220000
2022;EN;FT;Machine Learning Engineer;CHF;CH;100;CH;S;54000;56536
2023;SE;FT;Data Scientist;USD;US;0;US;M;150000;150000
2023;SE;FT;Data Scientist;USD;US;0;US;M;120000;120000
2023;SE;FT;Analytics Engineer;USD;US;0;US;M;289800;289800
2023;SE;FT;Analytics Engineer;USD;US;0;US;M;214000;214000
2023;SE;FT;Analytics Engineer;USD;US;0;US;M;179820;179820
2023;SE;FT;Analytics Engineer;USD;US;0;US;M;143860;143860
2023;SE;FT;Machine Learning Engineer;USD;US;100;US;M;283200;283200
2023;SE;FT;Machine Learning Engineer;USD;US;100;US;M;188800;188800
2023;SE;FT;Analytics Engineer;USD;US;0;US;M;289800;289800
2023;SE;FT;Analytics Engineer;USD;US;0;US;M;214200;214200
2023;SE;FT;Data Engineer;USD;US;0;US;M;185900;185900
2023;SE;FT;Data Engineer;USD;US;0;US;M;129300;129300
2023;SE;FT;Data Engineer;USD;US;0;US;M;252000;252000
2023;SE;FT;Data Engineer;USD;US;0;US;M;129000;129000
2023;MI;FT;Data Analytics Manager;USD;US;0;US;M;155000;155000
2023;MI;FT;Data Analytics Manager;USD;US;0;US;M;140000;140000
2023;SE;FT;Data Engineer;USD;US;100;US;M;161800;161800
2023;SE;FT;Data Engineer;USD;US;100;US;M;141600;141600
2023;SE;FT;Machine Learning Engineer;USD;US;0;US;L;342300;342300
2023;SE;FT;Machine Learning Engineer;USD;US;0;US;L;176100;176100
2023;MI;FT;Data Engineer;USD;US;100;US;M;100000;100000
2023;MI;FT;Data Engineer;USD;US;100;US;M;70000;70000
2023;EN;FT;Data Engineer;USD;US;0;US;M;85000;85000
2023;EN;FT;Data Engineer;USD;US;0;US;M;65000;65000
2023;SE;FT;Data Scientist;USD;US;100;US;M;138784;138784
2023;SE;FT;Data Scientist;USD;US;100;US;M;83270;83270
2023;EN;FT;Data Analyst;USD;US;0;US;M;75000;75000
2023;EN;FT;Data Analyst;USD;US;0;US;M;70000;70000
2023;SE;FT;Data Analyst;USD;US;0;US;M;204500;204500
2023;SE;FT;Data Analyst;USD;US;0;US;M;138900;138900
2023;SE;FT;Machine Learning Engineer;USD;US;100;US;M;318300;318300
2023;SE;FT;Machine Learning Engineer;USD;US;100;US;M;212200;212200
2023;SE;FT;Data Engineer;USD;US;100;US;M;95000;95000
2023;SE;FT;Data Engineer;USD;US;100;US;M;75000;75000
2023;SE;FT;Data Scientist;USD;US;0;US;M;195000;195000
2023;SE;FT;Data Scientist;USD;US;0;US;M;160000;160000
2023;SE;FT;Analytics Engineer;USD;US;0;US;M;230000;230000
2023;SE;FT;Analytics Engineer;USD;US;0;US;M;143200;143200
2023;MI;FT;Data Engineer;USD;US;100;US;M;100000;100000
2023;MI;FT;Data Engineer;USD;US;100;US;M;70000;70000
2023;MI;FT;Business Data Analyst;USD;US;50;US;L;105000;105000
2023;MI;FT;Applied Data Scientist;INR;IN;100;IN;L;1700000;20670
2023;MI;FT;Data Analyst;GBP;GB;0;GB;M;38000;46178
2023;MI;FT;Data Analyst;GBP;GB;0;GB;M;35000;42533
2023;SE;FT;Data Engineer;USD;US;0;US;M;145000;145000
2023;SE;FT;Data Engineer;USD;US;0;US;M;115000;115000
2023;SE;FT;Data Analyst;USD;US;0;US;M;168400;168400
2023;SE;FT;Data Analyst;USD;US;0;US;M;105200;105200
2023;SE;FT;Applied Scientist;USD;US;0;US;L;309400;309400
2023;SE;FT;Applied Scientist;USD;US;0;US;L;159100;159100
2023;SE;FT;Machine Learning Engineer;USD;US;0;US;M;190000;190000
2023;SE;FT;Machine Learning Engineer;USD;US;0;US;M;150000;150000
2023;MI;FT;Data Engineer;USD;US;0;US;M;162500;162500
2023;MI;FT;Data Engineer;USD;US;0;US;M;130000;130000
2023;SE;FT;Analytics Engineer;USD;US;100;US;M;150000;150000
2023;SE;FT;Analytics Engineer;USD;US;100;US;M;120000;120000
2023;SE;FT;Data Engineer;USD;US;0;US;M;145000;145000
2023;SE;FT;Data Engineer;USD;US;0;US;M;120000;120000
2023;SE;FT;Applied Scientist;USD;US;0;US;L;222200;222200
2023;SE;FT;Applied Scientist;USD;US;0;US;L;136000;136000
2023;SE;FT;Data Analyst;GBP;CF;100;CF;M;45000;54685
2023;SE;FT;Data Analyst;GBP;CF;100;CF;M;35000;42533
2023;SE;FT;Data Engineer;USD;US;0;US;M;241000;241000
2023;SE;FT;Data Engineer;USD;US;0;US;M;155000;155000
2023;SE;FT;Data Engineer;USD;US;100;US;M;220000;220000
2023;SE;FT;Data Engineer;USD;US;100;US;M;190000;190000
2023;MI;FT;Data Scientist;GBP;GB;0;GB;M;55000;66837
2023;MI;FT;Data Scientist;GBP;GB;0;GB;M;45000;54685
2020;EX;FT;Staff Data Analyst;USD;NG;0;CA;M;15000;15000
2023;MI;FT;ETL Engineer;GBP;GB;100;GB;M;70000;85066
2023;MI;FT;ETL Engineer;GBP;GB;100;GB;M;47500;57723
2023;EN;FT;Data Analyst;USD;US;100;US;M;85000;85000
2023;EN;FT;Data Analyst;USD;US;100;US;M;75000;75000
2023;SE;FT;Data Engineer;USD;US;0;US;M;160000;160000
2023;SE;FT;Data Engineer;USD;US;0;US;M;140000;140000
2023;MI;FT;Machine Learning Engineer;USD;US;0;US;M;300000;300000
2023;MI;FT;Machine Learning Engineer;USD;US;0;US;M;250000;250000
2023;SE;FT;Data Scientist;USD;US;0;US;M;228000;228000
2023;SE;FT;Data Scientist;USD;US;0;US;M;186000;186000
2023;SE;FT;Data Scientist;USD;US;0;US;M;190000;190000
2023;SE;FT;Data Scientist;USD;US;0;US;M;170000;170000
2023;MI;FT;Research Engineer;USD;US;0;US;M;230000;230000
2023;MI;FT;Research Engineer;USD;US;0;US;M;200000;200000
2023;SE;FT;Data Architect;USD;US;100;US;M;180000;180000
2023;SE;FT;Data Architect;USD;US;100;US;M;115000;115000
2023;SE;FT;Data Architect;USD;US;100;US;M;200000;200000
2023;SE;FT;Data Architect;USD;US;100;US;M;115000;115000
2023;SE;FT;Data DevOps Engineer;EUR;FR;50;FR;S;50000;53654
2023;EX;FT;Data Engineer;USD;US;0;US;M;220000;220000
2023;EX;FT;Data Engineer;USD;US;0;US;M;205000;205000
2023;MI;FT;Data Engineer;USD;US;0;US;M;180000;180000
2023;MI;FT;Data Engineer;USD;US;0;US;M;130000;130000
2023;SE;FT;Data Engineer;USD;US;100;US;M;200000;200000
2023;SE;FT;Data Engineer;USD;US;100;US;M;150000;150000
2023;SE;FT;Computer Vision Engineer;USD;US;0;US;M;215000;215000
2023;SE;FT;Computer Vision Engineer;USD;US;0;US;M;170000;170000
2023;SE;FT;Machine Learning Engineer;USD;US;0;US;M;247500;247500
2023;SE;FT;Machine Learning Engineer;USD;US;0;US;M;172200;172200
2023;SE;FT;Data Scientist;USD;CA;0;CA;M;224000;224000
2023;SE;FT;Data Scientist;USD;CA;0;CA;M;176000;176000
2023;SE;FT;Data Analyst;USD;US;100;US;M;120000;120000
2023;SE;FT;Data Analyst;USD;US;100;US;M;75000;75000
2023;EN;FT;Data Engineer;INR;IN;100;IN;L;1400000;17022
2023;SE;FT;Applied Data Scientist;AUD;AU;100;FI;M;100000;68318
2023;MI;FT;AI Developer;SGD;FI;0;FI;M;100000;75020
2023;SE;FT;Data Analyst;USD;US;0;US;M;140000;140000
2023;SE;FT;Data Analyst;USD;US;0;US;M;120000;120000
2023;SE;FT;Data Engineer;USD;US;0;US;M;128000;128000
2023;SE;FT;Data Engineer;USD;US;0;US;M;81500;81500
2023;SE;FT;Data Engineer;USD;US;0;US;M;145000;145000
2023;SE;FT;Data Engineer;USD;US;0;US;M;115000;115000
2023;SE;FT;Data Engineer;USD;US;0;US;M;185000;185000
2023;SE;FT;Data Engineer;USD;US;0;US;M;140000;140000
2023;EX;FT;Head of Data;USD;US;0;US;M;329500;329500
2023;EX;FT;Head of Data;USD;US;0;US;M;269600;269600
2023;SE;FT;Data Quality Analyst;USD;US;0;US;M;100000;100000
2023;SE;FT;Data Quality Analyst;USD;US;0;US;M;80000;80000
2023;SE;FT;Data Scientist;USD;US;0;US;M;250000;250000
2023;SE;FT;Data Scientist;USD;US;0;US;M;162500;162500
2023;MI;FT;AI Developer;USD;US;100;US;M;200000;200000
2023;SE;FT;Data Engineer;USD;US;0;US;M;145000;145000
2023;SE;FT;Data Engineer;USD;US;0;US;M;100000;100000
2023;EX;FT;Data Engineer;USD;US;0;US;M;145000;145000
2023;EX;FT;Data Engineer;USD;US;0;US;M;115000;115000
2023;SE;FT;Data Scientist;USD;US;0;US;M;203500;203500
2023;SE;FT;Data Scientist;USD;US;0;US;M;152000;152000
2023;SE;FT;Data Scientist;USD;US;0;US;L;239000;239000
2023;SE;FT;Data Scientist;USD;US;0;US;L;122900;122900
2023;SE;FT;Data Scientist;USD;US;0;US;M;237000;237000
2023;SE;FT;Data Scientist;USD;US;0;US;M;145000;145000
2023;SE;FT;Data Science Manager;USD;US;0;US;M;191765;191765
2023;SE;FT;Data Science Manager;USD;US;0;US;M;134236;134236
2023;SE;FT;Analytics Engineer;USD;US;100;US;M;190000;190000
2023;SE;FT;Analytics Engineer;USD;US;100;US;M;112000;112000
2022;SE;FT;Data Scientist;EUR;ES;100;GB;L;84000;88256
2023;EN;FT;Data Engineer;USD;US;0;US;M;85000;85000
2023;EN;FT;Data Engineer;USD;US;0;US;M;65000;65000
2023;SE;FT;Data Analyst;USD;US;0;US;M;135000;135000
2023;SE;FT;Data Analyst;USD;US;0;US;M;105500;105500
2023;SE;FT;Research Engineer;USD;US;0;US;M;293000;293000
2023;SE;FT;Research Engineer;USD;US;0;US;M;185000;185000
2023;SE;FT;Data Analyst;USD;US;0;US;M;80000;80000
2023;SE;FT;Data Analyst;USD;US;0;US;M;70000;70000
2023;SE;FT;Data Engineer;USD;US;100;US;M;220000;220000
2023;SE;FT;Data Engineer;USD;US;100;US;M;160000;160000
2023;SE;FT;Data Scientist;USD;US;100;US;M;175000;175000
2023;SE;FT;Data Scientist;USD;US;100;US;M;145000;145000
2023;SE;FT;Data Analyst;USD;US;0;US;M;200000;200000
2023;SE;FT;Data Analyst;USD;US;0;US;M;148500;148500
2023;SE;FT;Data Scientist;EUR;ES;0;ES;M;45000;48289
2023;SE;FT;Data Scientist;EUR;ES;0;ES;M;36000;38631
2023;SE;FT;Data Engineer;USD;US;0;US;L;240500;240500
2023;SE;FT;Data Engineer;USD;US;0;US;L;123700;123700
2023;SE;FT;Analytics Engineer;USD;US;100;US;M;152900;152900
2023;SE;FT;Analytics Engineer;USD;US;100;US;M;117100;117100
2023;SE;FT;Analytics Engineer;USD;US;100;US;M;173000;173000
2023;SE;FT;Analytics Engineer;USD;US;100;US;M;113000;113000
2023;SE;FT;Applied Scientist;USD;US;0;US;L;260000;260000
2023;SE;FT;Applied Scientist;USD;US;0;US;L;136000;136000
2023;EX;FT;Data Engineer;USD;US;0;US;M;175000;175000
2023;EX;FT;Data Engineer;USD;US;0;US;M;110000;110000
2023;SE;FT;Applied Scientist;USD;US;0;US;L;260000;260000
2023;SE;FT;Applied Scientist;USD;US;0;US;L;136000;136000
2023;SE;FT;Research Scientist;USD;US;100;US;M;130000;130000
2023;SE;FT;Research Scientist;USD;US;100;US;M;110000;110000
2023;SE;FT;Applied Scientist;USD;US;100;US;M;205000;205000
2023;SE;FT;Applied Scientist;USD;US;100;US;M;184000;184000
2023;SE;FT;Data Analyst;USD;US;100;US;M;149500;149500
2023;SE;FT;Data Analyst;USD;US;100;US;M;127075;127075
2023;SE;FT;Data Scientist;USD;US;0;US;M;195000;195000
2023;SE;FT;Data Scientist;USD;US;0;US;M;160000;160000
2023;SE;FT;Data Engineer;USD;US;100;US;M;219535;219535
2023;SE;FT;Data Engineer;USD;US;100;US;M;146115;146115
2023;SE;FT;Data Scientist;USD;US;0;US;M;170000;170000
2023;SE;FT;Data Scientist;USD;US;0;US;M;135000;135000
2023;SE;FT;Data Scientist;USD;US;100;US;M;175000;175000
2023;SE;FT;Data Scientist;USD;US;100;US;M;145000;145000
2023;SE;FT;Data Scientist;USD;US;0;US;M;199000;199000
2023;SE;FT;Data Scientist;USD;US;0;US;M;162000;162000
2023;SE;FT;Applied Scientist;USD;US;0;US;L;222200;222200
2023;SE;FT;Applied Scientist;USD;US;0;US;L;136000;136000
2023;EX;FT;Analytics Engineer;USD;US;100;US;M;221000;221000
2023;EX;FT;Analytics Engineer;USD;US;100;US;M;153000;153000
2023;SE;FT;Data Analyst;USD;US;0;US;M;187000;187000
2023;SE;FT;Data Analyst;USD;US;0;US;M;128000;128000
2023;SE;FT;Research Scientist;USD;US;0;US;M;210000;210000
2023;SE;FT;Research Scientist;USD;US;0;US;M;136000;136000
2023;SE;FT;Data Scientist;USD;US;100;US;M;175000;175000
2023;SE;FT;Data Scientist;USD;US;100;US;M;100000;100000
2023;SE;FT;Data Engineer;USD;US;0;US;M;179000;179000
2023;SE;FT;Data Engineer;USD;US;0;US;M;109000;109000
2023;SE;FT;Data Scientist;USD;US;0;US;M;245000;245000
2023;SE;FT;Data Scientist;USD;US;0;US;M;180000;180000
2023;SE;FT;Data Analyst;USD;US;100;US;M;142000;142000
2023;SE;FT;Data Analyst;USD;US;100;US;M;75000;75000
2023;SE;FT;Data Manager;USD;US;0;US;M;198800;198800
2023;SE;FT;Data Manager;USD;US;0;US;M;105200;105200
2023;SE;FT;Data Analyst;USD;US;100;US;M;125000;125000
2023;SE;FT;Data Analyst;USD;US;100;US;M;112000;112000
2023;SE;FT;Data Scientist;USD;US;0;US;M;210000;210000
2023;SE;FT;Data Scientist;USD;US;0;US;M;155000;155000
2023;SE;FT;Data Manager;USD;US;100;US;M;115000;115000
2023;SE;FT;Data Manager;USD;US;100;US;M;86000;86000
2023;SE;FT;Data Scientist;USD;US;0;US;M;165000;165000
2023;SE;FT;Data Scientist;USD;US;0;US;M;140000;140000
2023;SE;FT;Data Analyst;USD;US;0;US;M;139000;139000
2023;SE;FT;Data Analyst;USD;US;0;US;M;106000;106000
2023;EN;FT;Data Analyst;CAD;CA;0;CA;L;55000;40663
2022;SE;FT;AI Developer;USD;CA;0;CA;S;275000;275000
2023;SE;FL;Machine Learning Researcher;USD;UA;50;UA;S;50000;50000
2023;MI;FT;Machine Learning Engineer;USD;US;100;US;M;280700;280700
2023;MI;FT;Machine Learning Engineer;USD;US;100;US;M;150450;150450
2023;EN;FT;Data Scientist;CAD;CA;100;CA;L;70000;51753
2023;SE;FT;Data Architect;USD;US;0;US;M;250500;250500
2023;SE;FT;Data Architect;USD;US;0;US;M;159500;159500
2023;SE;FT;Data Engineer;USD;US;0;US;M;145000;145000
2023;SE;FT;Data Engineer;USD;US;0;US;M;115000;115000
2023;SE;FT;Data Analyst;USD;US;0;US;M;140000;140000
2023;SE;FT;Data Analyst;USD;US;0;US;M;120000;120000
2023;EN;FT;Data Scientist;USD;US;100;US;M;130001;130001
2023;EN;FT;Data Scientist;USD;US;100;US;M;71907;71907
2023;MI;FT;Data Scientist;USD;US;100;US;M;93918;93918
2023;MI;FT;Data Scientist;USD;US;100;US;M;51962;51962
2023;SE;FT;Data Analyst;USD;CA;100;CA;M;175000;175000
2023;SE;FT;Data Analyst;USD;CA;100;CA;M;135000;135000
2023;EN;FT;Data Engineer;USD;US;0;US;M;85000;85000
2023;EN;FT;Data Engineer;USD;US;0;US;M;65000;65000
2023;SE;FT;Machine Learning Engineer;USD;US;0;US;M;257000;257000
2023;SE;FT;Machine Learning Engineer;USD;US;0;US;M;147000;147000
2023;SE;FT;Data Engineer;USD;US;100;US;M;222000;222000
2023;SE;FT;Data Engineer;USD;US;100;US;M;175000;175000
2023;SE;FT;Data Scientist;USD;US;100;US;M;203000;203000
2023;SE;FT;Data Scientist;USD;US;100;US;M;133200;133200
2023;EN;FT;Applied Scientist;USD;US;0;US;L;213660;213660
2023;EN;FT;Applied Scientist;USD;US;0;US;L;130760;130760
2023;SE;FT;Data Engineer;USD;US;0;US;M;221000;221000
2023;SE;FT;Data Engineer;USD;US;0;US;M;147000;147000
2023;SE;FT;Data Quality Analyst;USD;US;0;US;M;100000;100000
2023;SE;FT;Data Quality Analyst;USD;US;0;US;M;80000;80000
2023;SE;FT;Data Scientist;USD;US;0;US;M;185900;185900
2023;SE;FT;Data Scientist;USD;US;0;US;M;129300;129300
2023;SE;FT;Data Scientist;USD;US;100;US;M;238000;238000
2023;SE;FT;Data Scientist;USD;US;100;US;M;156000;156000
2023;SE;FT;Machine Learning Engineer;USD;US;100;US;M;304000;304000
2023;SE;FT;Machine Learning Engineer;USD;US;100;US;M;199000;199000
2023;MI;FT;Big Data Engineer;EUR;ES;100;ES;M;45000;48289
2023;SE;FT;Data Engineer;USD;US;0;US;M;150000;150000
2023;SE;FT;Data Engineer;USD;US;0;US;M;130000;130000
2023;SE;FT;Data Scientist;USD;US;100;US;M;140000;140000
2023;SE;FT;Data Scientist;USD;US;100;US;M;110000;110000
2023;MI;FT;Data Analyst;USD;US;0;US;M;90000;90000
2023;MI;FT;Data Analyst;USD;US;0;US;M;75000;75000
2023;MI;FT;Research Scientist;GBP;GB;0;GB;M;161200;195895
2023;MI;FT;Research Scientist;GBP;GB;0;GB;M;84570;102772
2023;SE;FT;Data Engineer;USD;US;0;US;M;240000;240000
2023;SE;FT;Data Engineer;USD;US;0;US;M;183600;183600
2023;MI;FT;Data Specialist;USD;US;0;US;M;130000;130000
2023;MI;FT;Data Specialist;USD;US;0;US;M;80000;80000
2023;SE;FT;Data Engineer;USD;US;0;US;M;250000;250000
2023;SE;FT;Data Engineer;USD;US;0;US;M;150000;150000
2023;SE;FT;Data Analytics Manager;USD;US;100;US;M;160000;160000
2023;SE;FT;Data Analytics Manager;USD;US;100;US;M;120000;120000
2023;SE;FT;Machine Learning Engineer;USD;US;0;US;M;289076;289076
2023;SE;FT;Machine Learning Engineer;USD;US;0;US;M;202353;202353
2023;SE;FT;Data Engineer;USD;US;0;US;M;145000;145000
2023;SE;FT;Data Engineer;USD;US;0;US;M;120000;120000
2023;SE;FT;Data Analyst;USD;US;0;US;M;155000;155000
2023;SE;FT;Data Analyst;USD;US;0;US;M;106000;106000
2023;SE;FT;Data Engineer;USD;US;0;US;M;200000;200000
2023;SE;FT;Data Engineer;USD;US;0;US;M;160000;160000
2023;SE;FT;Data Scientist;USD;US;100;US;M;157750;157750
2023;SE;FT;Data Scientist;USD;US;100;US;M;104650;104650
2023;MI;FT;Data Scientist;USD;US;100;US;M;180000;180000
2023;MI;FT;Data Scientist;USD;US;100;US;M;140000;140000
2023;EX;FT;Data Scientist;USD;US;0;US;M;200000;200000
2023;EX;FT;Data Scientist;USD;US;0;US;M;145000;145000
2023;MI;FT;Lead Data Analyst;USD;US;0;US;L;68000;68000
2023;EN;FT;BI Data Engineer;USD;US;100;US;M;60000;60000
2023;SE;FT;Data Scientist;EUR;ES;0;ES;M;45000;48289
2023;SE;FT;Data Scientist;EUR;ES;0;ES;M;36000;38631
2023;EN;FT;Data Engineer;USD;US;0;US;M;85000;85000
2023;EN;FT;Data Engineer;USD;US;0;US;M;65000;65000
2023;MI;FT;Data Engineer;USD;US;0;US;M;125000;125000
2023;MI;FT;Data Engineer;USD;US;0;US;M;90000;90000
2023;SE;FT;Data Analyst;USD;US;100;US;M;105000;105000
2023;SE;FT;Data Analyst;USD;US;100;US;M;90000;90000
2023;SE;FT;Analytics Engineer;USD;US;0;US;M;179820;179820
2023;SE;FT;Analytics Engineer;USD;US;0;US;M;143860;143860
2023;SE;FT;Data Analyst;USD;US;0;US;M;135000;135000
2023;SE;FT;Data Analyst;USD;US;0;US;M;105500;105500
2023;EN;FT;Research Engineer;USD;US;0;US;M;155000;155000
2023;EN;FT;Research Engineer;USD;US;0;US;M;125000;125000
2023;SE;FT;Machine Learning Engineer;USD;US;0;US;M;241000;241000
